date,expiration,contractLength,type,strike,bid,ask,midpoint,blackScholesPrice,stockPriceAtExpiration,profitable,return
2018-06-01,2018-06-11,10,call,220.0,53.59,53.78,53.685,52.71116353952172,278.44,True,8.85722268790164
2018-06-01,2018-06-11,10,call,225.0,48.59,48.77,48.68000000000001,47.718008165419945,278.44,True,9.778142974527507
2018-06-01,2018-06-11,10,call,230.0,43.6,43.79,43.695,42.72485279131814,278.44,True,10.859366060189947
2018-06-01,2018-06-11,10,call,235.0,38.61,38.79,38.7,37.73169741721645,278.44,True,12.248062015503862
2018-06-01,2018-06-11,10,call,240.0,33.62,33.8,33.709999999999994,32.73854204325576,278.44,True,14.031444675170587
2018-06-01,2018-06-11,10,call,245.0,28.63,28.81,28.72,27.745386735864344,278.44,True,16.434540389972142
2018-06-01,2018-06-11,10,call,250.0,23.63,23.82,23.725,22.75224227691686,278.44,True,19.873551106427804
2018-06-01,2018-06-11,10,call,251.0,22.65,22.82,22.735,21.753627238061796,278.44,True,20.6949637123378
2018-06-01,2018-06-11,10,call,252.0,21.65,21.84,21.744999999999997,20.755033103258796,278.44,True,21.591170383996324
2018-06-01,2018-06-11,10,call,253.0,20.66,20.83,20.744999999999997,19.756483848617847,278.44,True,22.631959508315262
2018-06-01,2018-06-11,10,call,254.0,19.66,19.85,19.755000000000003,18.758027131369488,278.44,True,23.715515059478587
2018-06-01,2018-06-11,10,call,255.0,18.66,18.84,18.75,17.759753738047493,278.44,True,25.01333333333332
2018-06-01,2018-06-11,10,call,256.0,17.66,17.85,17.755000000000003,16.761829450808563,278.44,True,26.386933258237082
2018-06-01,2018-06-11,10,call,257.0,16.68,16.86,16.77,15.76454449581172,278.44,True,27.847346451997605
2018-06-01,2018-06-11,10,call,258.0,15.69,15.86,15.774999999999999,14.768386008004143,278.44,True,29.572107765451662
2018-06-01,2018-06-11,10,call,259.0,14.7,14.87,14.785,13.7741379117262,278.44,True,31.484612783226222
2018-06-01,2018-06-11,10,call,260.0,13.71,13.88,13.795000000000002,12.783009600249443,278.44,True,33.67162015222904
2018-06-01,2018-06-11,10,call,261.0,12.71,12.89,12.8,11.796789341779174,278.44,True,36.24999999999998
2018-06-01,2018-06-11,10,call,262.0,11.74,11.91,11.825,10.818010533865106,278.44,True,39.0274841437632
2018-06-01,2018-06-11,10,call,263.0,10.75,10.93,10.84,9.85010971479818,278.44,True,42.43542435424352
2018-06-01,2018-06-11,10,call,264.0,9.79,9.96,9.875,8.897546542180066,278.44,True,46.2278481012658
2018-06-01,2018-06-11,10,call,265.0,8.82,8.99,8.905000000000001,7.965850464096064,278.44,True,50.92644581695672
2018-06-01,2018-06-11,10,call,265.5,8.34,8.51,8.425,7.509835647047225,278.44,True,53.590504451038534
2018-06-01,2018-06-11,10,call,266.0,7.86,8.03,7.945,7.061559402496414,278.44,True,56.576463184392665
2018-06-01,2018-06-11,10,call,266.5,7.39,7.55,7.47,6.621964521083129,278.44,True,59.83935742971885
2018-06-01,2018-06-11,10,call,267.0,6.92,7.08,7.0,6.19202454373783,278.44,True,63.4285714285714
2018-06-01,2018-06-11,10,call,267.5,6.45,6.61,6.53,5.772729964709953,278.44,True,67.53445635528327
2018-06-01,2018-06-11,10,call,268.0,5.99,6.15,6.07,5.36507264146519,278.44,True,71.993410214168
2018-06-01,2018-06-11,10,call,268.5,5.54,5.69,5.615,4.970028789182919,278.44,True,77.02582368655384
2018-06-01,2018-06-11,10,call,269.0,5.09,5.24,5.165,4.588541029522588,278.44,True,82.7686350435624
2018-06-01,2018-06-11,10,call,269.5,4.65,4.79,4.720000000000001,4.221500038072691,278.44,True,89.40677966101688
2018-06-01,2018-06-11,10,call,270.0,4.21,4.36,4.285,3.8697263868416485,278.44,True,96.96616102683775
2018-06-01,2018-06-11,10,call,270.5,3.79,3.93,3.8600000000000003,3.5339532029159386,278.44,True,105.69948186528491
2018-06-01,2018-06-11,10,call,271.0,3.4,3.49,3.4450000000000003,3.2148102591881127,278.44,True,115.96516690856305
2018-06-01,2018-06-11,10,call,271.5,3.01,3.09,3.05,2.912810076941213,278.44,True,127.54098360655732
2018-06-01,2018-06-11,10,call,272.0,2.63,2.71,2.67,2.628336554153236,278.44,True,141.1985018726591
2018-06-01,2018-06-11,10,call,272.5,2.27,2.35,2.31,2.3616365407380044,278.44,True,157.14285714285703
2018-06-01,2018-06-11,10,call,273.0,1.94,2.0,1.97,2.1128146674410573,278.44,True,176.14213197969534
2018-06-01,2018-06-11,10,call,273.5,1.64,1.69,1.665,1.8818316050832635,278.44,True,196.69669669669656
2018-06-01,2018-06-11,10,call,274.0,1.36,1.39,1.375,1.6685057926307962,278.44,True,222.90909090909074
2018-06-01,2018-06-11,10,call,274.5,1.11,1.15,1.13,1.4725185339512308,278.44,True,248.67256637168126
2018-06-01,2018-06-11,10,call,275.0,0.89,0.92,0.905,1.2934222317986581,278.44,True,280.1104972375688
2018-06-01,2018-06-11,10,call,275.5,0.7,0.74,0.72,1.1306514106074417,278.44,True,308.3333333333331
2018-06-01,2018-06-11,10,call,276.0,0.54,0.58,0.56,0.9835360830007573,278.44,True,335.71428571428527
2018-06-01,2018-06-11,10,call,276.5,0.41,0.44,0.425,0.8513169429832033,278.44,True,356.4705882352936
2018-06-01,2018-06-11,10,call,277.0,0.31,0.34,0.325,0.7331618242874356,278.44,True,343.0769230769224
2018-06-01,2018-06-11,10,call,277.5,0.23,0.25,0.24,0.6281828461667658,278.44,True,291.6666666666657
2018-06-01,2018-06-11,10,call,278.0,0.17,0.19,0.18,0.5354536801606073,278.44,True,144.4444444444432
2018-06-01,2018-06-11,10,call,278.5,0.12,0.14,0.13,0.4540264075037115,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,279.0,0.1,0.11,0.10500000000000001,0.3829474940935569,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,279.5,0.07,0.08,0.07500000000000001,0.3212724835048206,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,280.0,0.05,0.06,0.055,0.26807909314798195,278.44,False,144.4444444444432
2018-06-01,2018-06-11,10,call,280.5,0.04,0.05,0.045,0.22247848885848498,278.44,False,144.4444444444432
